area,cluster,cluster_name,keyword,x,y,count,color
ar\vr,0.0,Кластер 0,reservations linking,10.195602423153172,12.259495712252914,751.0,#d5ffff
ar\vr,0.0,Кластер 0,interfaces neutral,10.443533250200693,13.809914970161072,586.0,#d5ffff
ar\vr,0.0,Кластер 0,committees parallel,6.735259814980754,3.613982972088637,173.0,#d5ffff
ar\vr,0.0,Кластер 0,written conflict fabulous,2.991167386692041,7.106798807182176,1443.0,#d5ffff
ar\vr,1.0,Кластер 1,filling volunteers academics,10.83391995827724,8.652736658281233,773.0,#947e94
ar\vr,1.0,Кластер 1,celtic automation,12.197275202219137,4.723751417014398,715.0,#947e94
ar\vr,1.0,Кластер 1,postcards looked republic detector,10.474474222223218,6.220011967033064,1397.0,#947e94
ar\vr,1.0,Кластер 1,michael tobacco,6.21087987032822,12.721263957780877,1007.0,#947e94
ar\vr,2.0,Кластер 2,previously standing languages commands,14.668088782019147,8.467136440992878,889.0,#cafffb
ar\vr,2.0,Кластер 2,bangkok mining fascinating,5.084247153929448,13.480030560991166,682.0,#cafffb
ar\vr,2.0,Кластер 2,enquiries implementation,3.5807179798861632,8.089951461567338,1249.0,#cafffb
ar\vr,3.0,Кластер 3,several animated,11.451222272176462,6.641685483781745,260.0,#fdb915
ar\vr,3.0,Кластер 3,announces independent,0.3819861215457754,7.675411781516552,1669.0,#fdb915
ar\vr,3.0,Кластер 3,reload athletics,6.020944311198539,4.355278024864925,1189.0,#fdb915
available,0.0,Кластер 0,mobiles sensor,14.91661915530759,5.807535729499952,426.0,#d3494e
available,0.0,Кластер 0,containers raises,11.553724046234848,14.838972733370907,1901.0,#d3494e
available,0.0,Кластер 0,engage gazette,13.577055720514515,14.56834807581583,1694.0,#d3494e
available,0.0,Кластер 0,michael tobacco oriented,2.5345406683668465,7.201312159374234,1433.0,#d3494e
available,1.0,Кластер 1,correctly washing trauma,0.8546094748233873,2.8545670858213916,910.0,#cb6843
available,1.0,Кластер 1,minerals reception,5.198257488228374,14.817618017689076,907.0,#cb6843
available,1.0,Кластер 1,signed reception,9.560871377586924,6.234035288942436,1793.0,#cb6843
available,1.0,Кластер 1,collectables departments,11.166086848701768,12.985122559024818,1247.0,#cb6843
available,2.0,Кластер 2,disposition layout,0.9908708935514388,6.513206893783746,454.0,#004577
available,2.0,Кластер 2,copyright crossword,3.542366816013352,10.48899638751125,1404.0,#004577
available,2.0,Кластер 2,announces independent coaching travelers,8.701704539276447,12.305153970991967,1041.0,#004577
available,2.0,Кластер 2,optimal artificial orders complicated,13.203286304999212,14.374205517890555,1037.0,#004577
available,3.0,Кластер 3,offset cnetcom applying,9.557026726459265,3.4572979889185995,649.0,#b7fffa
available,3.0,Кластер 3,exports closing supported,11.399484980573028,4.206470020157055,401.0,#b7fffa
available,3.0,Кластер 3,logging suggested,13.843937050502952,9.688188173044628,1749.0,#b7fffa
